Name,gwp20,loggwp20,gwp100,loggwp100,gwp500,loggwp500,smiles
Carbon dioxide,1,0,1,0,1,0,O=C=O
Methane,81.2,1.909556029,27.9,1.445604203,7.95,0.900367129,C
Nitrous oxide,273,2.436162647,273,2.436162647,130,2.113943352,[N-]=[N+]=O
Trichlorofluoromethane,8320,3.920123326,6230,3.794488047,2090,3.320146286,FC(Cl)(Cl)Cl
Dichlorodifluoromethane,12700,4.103803721,12500,4.096910013,5710,3.756636108,FC(F)(Cl)Cl
Chlorotrifluoromethane,12400,4.093421685,16200,4.209515015,17500,4.243038049,FC(F)(F)Cl
"1,1,2,2-tetrachloro-1,2-difluoroethane",5620,3.749736316,4620,3.664641976,1670,3.222716471,FC(Cl)(Cl)C(F)(Cl)Cl
"1,1,1,2-tetrachloro-2,2-difluoroethane",4740,3.675778342,3550,3.550228353,1190,3.075546961,FC(F)(Cl)C(Cl)(Cl)Cl
"1,1,2-trichloro-1,2,2-trifluoroethane",6860,3.836324116,6520,3.814247596,2830,3.451786436,FC(F)(Cl)C(F)(Cl)Cl
"1,1,1-trichloro-2,2,2-trifluoroethane",5110,3.7084209,3930,3.59439255,1350,3.130333768,FC(F)(F)C(Cl)(Cl)Cl
"1,2-dichloro-1,1,2,2-tetrafluoroethane",8260,3.916980047,9430,3.974511693,6150,3.788875116,FC(F)(Cl)C(F)(F)Cl
"1,1-dichloro-1,2,2,2-tetrafluoroethane",7510,3.875639937,7420,3.870403905,3450,3.537819095,FC(F)(F)C(F)(Cl)Cl
"1-chloro-1,1,2,2,2-pentafluoroethane",7410,3.869818208,9600,3.982271233,9880,3.994756945,FC(F)(F)C(F)(F)Cl
"(1s,2s)-1,2-dichloro-1,2,3,3,4,4-hexafluorocyclobutane",4810,3.682145076,4230,3.626340367,1650,3.217483944,FC1(F)C(F)(F)[C@](F)(Cl)[C@@]1(F)Cl
"(1r,2s)-1,2-dichloro-1,2,3,3,4,4-hexafluorocyclobutane",5590,3.747411808,5660,3.752816431,2760,3.440909082,FC1(F)C(F)(F)[C@@](F)(Cl)[C@@]1(F)Cl
"(e)-1,2-dichloro-1,2-difluoroethene",0.454,-0.342944147,0.126,-0.899629455,0.036,-1.443697499,F/C(Cl)=C(/F)Cl
"1,1-dichloro-2,2-difluoroethene",0.076,-1.119186408,0.021,-1.677780705,0.006,-2.22184875,FC(F)=C(Cl)Cl
Dichlorofluoromethane,575,2.759667845,160,2.204119983,45.6,1.658964843,FC(Cl)Cl
Chlorodifluoromethane,5690,3.755112266,1960,3.292256071,560,2.748188027,FC(F)Cl
Chlorofluoromethane,286,2.456366033,79.4,1.899820502,22.6,1.354108439,FCCl
"1,1,2,2-tetrachloro-1-fluoroethane",210,2.322219295,58.3,1.765668555,16.6,1.220108088,FC(Cl)(Cl)C(Cl)Cl
"1,2,2-trichloro-1,1-difluoroethane",203,2.307496038,56.4,1.751279104,16.1,1.206825876,FC(F)(Cl)C(Cl)Cl
"1,1,2-trichloro-1,2-difluoroethane",879,2.943988875,245,2.389166084,69.9,1.844477176,FC(Cl)C(F)(Cl)Cl
"2,2-dichloro-1,1,1-trifluoroethane",325,2.511883361,90.4,1.95616843,25.8,1.411619706,FC(F)(F)C(Cl)Cl
"1,2-dichloro-1,1,2-trifluoroethane",1410,3.149219113,395,2.596597096,113,2.053078443,FC(Cl)C(F)(F)Cl
"2-chloro-1,1,1,2-tetrafluoroethane",2070,3.315970345,597,2.775974331,170,2.230448921,FC(Cl)C(F)(F)F
"1-chloro-1,1,2,2-tetrafluoroethane",5110,3.7084209,2070,3.315970345,592,2.772321707,FC(F)C(F)(F)Cl
"1,2-dichloro-1,2-difluoroethane",440,2.643452676,122,2.086359831,34.9,1.542825427,FC(Cl)C(F)Cl
"1,1-dichloro-2,2-difluoroethane",253,2.403120521,70.4,1.847572659,20.1,1.303196057,FC(F)C(Cl)Cl
"1,1-dichloro-1,2-difluoroethane",1220,3.086359831,342,2.534026106,97.6,1.989449818,FCC(F)(Cl)Cl
"2-chloro-1,1,1-trifluoroethane",1370,3.136720567,388,2.588831726,111,2.045322979,FC(F)(F)CCl
"1,2-dichloro-1-fluoroethane",168,2.225309282,46.6,1.668385917,13.3,1.123851641,FC(Cl)CCl
"1,1-dichloro-1-fluoroethane",2710,3.432969291,860,2.934498451,246,2.390935107,CC(F)(Cl)Cl
"1-chloro-1,1-difluoroethane",5510,3.741151599,2300,3.361727836,658,2.818225894,CC(F)(F)Cl
"3,3-dichloro-1,1,1,2,2-pentafluoropropane",491,2.691081492,137,2.136720567,39,1.591064607,FC(F)(F)C(F)(F)C(Cl)Cl
"1,3-dichloro-1,1,2,2,3-pentafluoropropane",1960,3.292256071,568,2.754348336,162,2.209515015,FC(Cl)C(F)(F)C(F)(F)Cl
"(e)-1-chloro-3,3,3-trifluoroprop-1-ene",14,1.146128036,3.88,0.588831726,1.11,0.045322979,FC(F)(F)/C=C/Cl
"1-chloro-3,3,3-trifluoroprop-1-ene",1.64,0.214843848,0.454,-0.342944147,0.129,-0.88941029,FC(F)(F)C=CCl
(e)-1-chloro-2-fluoroethene,0.013,-1.886056648,0.004,-2.397940009,0.001,-3,F/C=C/Cl
Trifluoromethane,12400,4.093421685,14600,4.164352856,10500,4.021189299,FC(F)F
Difluoromethane,2690,3.42975228,771,2.887054378,220,2.342422681,FCF
Fluoromethane,485,2.685741739,135,2.130333768,38.6,1.586587305,CF
"1,1,1,2,2-pentafluoroethane",6740,3.828659897,3740,3.572871602,1110,3.045322979,FC(F)C(F)(F)F
"1,1,2,2-tetrafluoroethane",3900,3.591064607,1260,3.100370545,361,2.557507202,FC(F)C(F)F
"1,1,1,2-tetrafluoroethane",4140,3.617000341,1530,3.184691431,436,2.639486489,FCC(F)(F)F
"1,1,2-trifluoroethane",1300,3.113943352,364,2.561101384,104,2.017033339,FCC(F)F
"1,1,1-trifluoroethane",7840,3.894316063,5810,3.764176132,1940,3.28780173,CC(F)(F)F
"1,2-difluoroethane",77.6,1.889861721,21.5,1.33243846,6.14,0.788168371,FCCF
"1,1-difluoroethane",591,2.771587481,164,2.214843848,46.8,1.670245853,CC(F)F
Fluoroethane,17.4,1.240549248,4.84,0.684845362,1.38,0.139879086,CCF
"1,1,1,2,2,3,3-heptafluoropropane",5370,3.729974286,2980,3.474216264,885,2.946943271,FC(F)C(F)(F)C(F)(F)F
"1,1,1,2,3,3,3-heptafluoropropane",5850,3.767155866,3600,3.556302501,1100,3.041392685,FC(C(F)(F)F)C(F)(F)F
"1,1,1,2,2,3-hexafluoropropane",3750,3.574031268,1350,3.130333768,387,2.587710965,FCC(F)(F)C(F)(F)F
"1,1,1,2,3,3-hexafluoropropane",4420,3.645422269,1500,3.176091259,428,2.631443769,FC(F)C(F)C(F)(F)F
"1,1,1,3,3,3-hexafluoropropane",7450,3.872156273,8690,3.939019776,6040,3.781036939,FC(F)(F)CC(F)(F)F
"1,1,2,2,3-pentafluoropropane",2680,3.428134794,787,2.895974732,225,2.352182518,FCC(F)(F)C(F)F
"1,1,1,2,2-pentafluoropropane",6970,3.843232778,4550,3.658011397,1420,3.152288344,CC(F)(F)C(F)(F)F
"1,1,2,3,3-pentafluoropropane",912,2.959994838,255,2.40654018,72.6,1.860936621,FC(F)C(F)C(F)F
"1,1,1,2,3-pentafluoropropane",1160,3.064457989,325,2.511883361,92.6,1.966610987,FCC(F)C(F)(F)F
"1,1,1,3,3-pentafluoropropane",3170,3.501059262,962,2.983175072,274,2.437750563,FC(F)CC(F)(F)F
"1,1,1-trifluoropropane",269,2.42975228,74.8,1.873901598,21.3,1.328379603,CCC(F)(F)F
"2,2-difluoropropane",1910,3.281033367,599,2.777426822,171,2.23299611,CC(C)(F)F
"1,1,1,2,2,3,3,4,4-nonafluorobutane",5010,3.699837726,2890,3.460897843,866,2.937517892,FC(F)C(F)(F)C(F)(F)C(F)(F)F
"1,1,1,3,3-pentafluorobutane",2920,3.465382851,914,2.960946196,261,2.416640507,CC(F)(F)CC(F)(F)F
"1,1,1,2,2,3,4,5,5,5-decafluoropentane",3960,3.597695186,1600,3.204119983,458,2.660865478,FC(C(F)C(F)(F)C(F)(F)F)C(F)(F)F
Trifluoroethylene,0.017,-1.769551079,0.005,-2.301029996,0.001,-3,FC=C(F)F
"1,1-difluoroethene",0.189,-0.723538196,0.052,-1.283996656,0.015,-1.823908741,C=C(F)F
Fluoroethene,0.088,-1.055517328,0.024,-1.619788758,0.007,-2.15490196,C=CF
"(z)-1,2,3,3,3-pentafluoroprop-1-ene",1.24,0.093421685,0.344,-0.463441557,0.098,-1.008773924,F/C=C(\F)C(F)(F)F
"(e)-1,2,3,3,3-pentafluoroprop-1-ene",0.426,-0.370590401,0.118,-0.928117993,0.034,-1.468521083,F/C=C(/F)C(F)(F)F
"(z)-1,3,3,3-tetrafluoroprop-1-ene",1.13,0.053078443,0.315,-0.501689446,0.09,-1.045757491,F/C=C\C(F)(F)F
"(e)-1,3,3,3-tetrafluoroprop-1-ene",4.94,0.693726949,1.37,0.136720567,0.391,-0.407823243,F/C=C/C(F)(F)F
"2,3,3,3-tetrafluoroprop-1-ene",1.81,0.257678575,0.501,-0.300162274,0.143,-0.844663963,C=C(F)C(F)(F)F
"(e)-1,1,1,4,4,4-hexafluorobut-2-ene",64.3,1.808210973,17.9,1.252853031,5.09,0.706717782,FC(F)(F)/C=C/C(F)(F)F
"(z)-1,1,1,4,4,4-hexafluorobut-2-ene",7.48,0.873901598,2.08,0.318063335,0.592,-0.227678293,FC(F)(F)/C=C\C(F)(F)F
"3,3,3-trifluoroprop-1-ene",0.94,-0.026872146,0.261,-0.583359493,0.074,-1.13076828,C=CC(F)(F)F
"3,3,4,4,4-pentafluorobut-1-ene",0.656,-0.183096161,0.182,-0.739928612,0.052,-1.283996656,C=CC(F)(F)C(F)(F)F
